iter	Passed	Remaining
0	150	150148
1	152	75937
2	154	51196
3	156	39017
4	158	31603
5	161	26756
6	165	23475
7	168	20858
8	170	18720
9	173	17184
10	177	15925
11	178	14728
12	181	13753
13	182	12884
14	186	12243
15	189	11625
16	191	11090
17	195	10661
18	197	10181
19	200	9832
20	204	9546
21	207	9227
22	211	8975
23	214	8736
24	216	8447
25	218	8181
26	220	7937
27	223	7768
28	226	7574
29	228	7395
30	230	7203
31	232	7029
32	236	6927
33	239	6792
34	272	7516
35	276	7397
36	278	7239
37	280	7089
38	281	6947
39	285	6857
40	287	6725
41	289	6614
42	293	6532
43	296	6437
44	299	6363
45	302	6274
46	304	6170
47	307	6103
48	311	6039
49	312	5945
50	314	5856
51	317	5783
52	320	5729
53	324	5681
54	335	5767
55	338	5712
56	340	5637
57	342	5563
58	344	5491
59	346	5433
60	348	5365
61	352	5327
62	354	5274
63	358	5243
64	361	5194
65	362	5136
66	366	5107
67	368	5052
68	370	4998
69	374	4968
70	379	4962
71	382	4927
72	386	4902
73	389	4875
74	393	4847
75	395	4808
76	398	4772
77	400	4739
78	404	4716
79	407	4691
80	410	4656
81	413	4634
82	417	4610
83	419	4569
84	422	4548
85	426	4527
86	427	4490
87	432	4478
88	434	4449
89	437	4419
90	439	4391
91	441	4356
92	443	4328
93	447	4314
94	451	4297
95	454	4280
96	456	4247
97	458	4222
98	461	4197
99	464	4178
100	466	4155
101	469	4132
102	471	4108
103	475	4094
104	477	4072
105	481	4059
106	483	4038
107	487	4026
108	491	4015
109	494	3996
110	497	3988
111	500	3970
112	504	3961
113	508	3953
114	512	3947
115	517	3942
116	521	3935
117	524	3919
118	528	3913
119	532	3906
120	535	3891
121	538	3875
122	542	3869
123	545	3855
124	548	3840
125	551	3826
126	554	3812
127	558	3807
128	593	4008
129	596	3993
130	599	3975
131	601	3958
132	604	3940
133	606	3922
134	610	3910
135	613	3897
136	616	3883
137	619	3869
138	625	3874
139	629	3864
140	631	3847
141	634	3835
142	637	3822
143	641	3813
144	645	3804
145	648	3792
146	651	3781
147	656	3777
148	659	3769
149	663	3759
150	667	3755
151	674	3764
152	678	3756
153	681	3745
154	684	3729
155	687	3718
156	690	3709
157	694	3702
158	697	3691
159	701	3683
160	705	3674
161	708	3666
162	711	3655
163	715	3648
164	719	3642
165	724	3638
166	727	3628
167	730	3617
168	734	3612
169	738	3607
170	745	3615
171	749	3608
172	752	3599
173	757	3596
174	762	3594
175	765	3585
176	769	3577
177	772	3568
178	779	3573
179	782	3564
180	786	3559
181	791	3556
182	795	3551
183	798	3541
184	802	3536
185	805	3526
186	810	3522
187	813	3512
188	816	3502
189	821	3500
190	824	3491
191	827	3481
192	830	3472
193	834	3468
194	837	3459
195	841	3450
196	845	3445
197	848	3434
198	850	3424
199	854	3419
200	857	3410
201	864	3413
202	868	3409
203	871	3400
204	876	3397
205	879	3388
206	883	3384
207	890	3389
208	893	3380
209	896	3372
210	900	3368
211	903	3359
212	907	3351
213	911	3346
214	917	3349
215	920	3341
216	927	3345
217	930	3337
218	933	3329
219	936	3320
220	939	3312
221	946	3317
222	951	3314
223	956	3313
224	960	3308
225	965	3305
226	968	3298
227	973	3294
228	976	3287
229	979	3280
230	984	3277
231	988	3272
232	991	3265
233	995	3258
234	1000	3255
235	1005	3254
236	1009	3250
237	1013	3243
